acer/acid/acri/acu,bitter 苦/sour 酸/sharp 銳利
acro,top 頂/height 高/tip 尖/begin 開始
act,do 做/act 動作/drive 驅動
acu,sharp 尖銳
aer/aero/aeri,air 空氣/atmosphere 大氣/aviation 航空
ag,do 做/act 行動
agger,stack 堆積
agi/ig/act,move 移動/go 行動
agog/agogue,leader 領導者
agra/agri/agro,farming 農業/fields 田野/soil 土壤
aholic/oholic,obsession 痴迷於
alb/albo,white 白色/without 無色素
alg/algia,pain 疼痛
alt,high deep 高深
alter/ali/altern/allo,other 其它/to change 改變狀態
amble/ambul,walk 步行/move 移動
amou/amor/ami,love 愛/liking 喜歡
ana,anew 再次
andr/andro,man 男人/male 男性
ang,angular 角
anim,life 生命/spirit 精神/anger 憤怒
ann/anni/enn/enni,year 年
ano,up 起來
ante,before 前
anth/antho,flower 花
anthrop,human 人的
anti,old 老
arbor,tree 樹
arch,chief 首席/rule 統治
arium/ium,place 地方
art,skill 技能
arthr/arthro,joint 關節接頭
astr/astro/aster,stars 星體/outer space 外太空
athl/athlet,athlon 運動
auc/aug/aut,originate 發起/increase 以增加,
aud/aus/audio/audi,listen 聽,
auto,self 自我/auto 自動
avi/avia,bird 鳥
ban,prohibit 禁止
bar/baro,weight 重量/pressure 壓力
bel/bell/belli,war 戰爭
bene,good 良好/well 好/favorable有利/gentle溫柔
bibl/bible/bibli/biblio,book 書
bio,life 生命
blast/blasto,cell 細胞
brev,short 短
burs,pouch 袋/purse 錢包
caco,bad 壞
cad,fall 下跌
cade,procession 遊行
calc,stone 石
calor,heat 熱
cand,發光
cand,glowing 發光/iridescent 虹彩
cap/cip/cept,take 拿取;持有
capit/capt,head 頭
cardi/cardio,heart 心臟
carn/carni,flesh;meat 肉
cas,take 拿/seize 抓住/fall 下跌
cat/cata/cath,down 下/completely 完全/intensive 集約
cathar,pure 純潔
cau/caust/caut,burn 燒/heat 熱
cause/cuse/cus,cause 原因/motive 動機
ceas/ced/cede/ceed/cess,move 移動/yield 產量/go 走
ceive/cept,take 取得/hold 持有
celeb,famous people 名人
celer,fast 快
celest,stial 天空
cent/centi,hundred 百
centr/centri,center 中心
cephal/cephalo,head 頭
cerebr/cerebro,brain 大腦
cert,sure 肯定
chrom/chromo/chromat/chros,color 顏色/pigment 色素
chron/chrono,time 時間
chrys/chryso,gold 黃金/yellow 黃色
cian,specific skill 特殊技能
cid,發生/降臨
cide/cise/cis,cut down 切下/kill殺
cip,take取
circum,around 周圍
cit,call 呼叫/start 啟動
civ,citizen 公民
clam/claim,cry out 大聲說
clar,clear 明確
clin/cline,lean 依賴/bend彎曲
clud/clus/claus,close;shut 關閉/down 下來/against反對/completely完全
